"piva","codice_pezzo","data_consegna","id_mg","nome_officina"
"RIC00001","PR001",2025-07-24,1,"OfficinaUdine"
"GRT00002","PR002",2025-07-24,2,"OfficinaTrieste"
"MOG00003","PR005",2025-07-24,1,"OfficinaUdine"
"RIC00001","PR001",2025-07-24,2,"OfficinaTrieste"
"RIC00001","PR005",2025-07-24,2,"OfficinaTrieste"
"RIC00001","PR002",2025-07-24,1,"OfficinaUdine"
"LOL08506","PR001",2025-07-16,1,"Officina Trieste"
"LOL08506","PR039",2025-06-29,1,"Officina Trieste"
"LOL08506","PR009",2025-07-03,1,"Officina Trieste"
"LOL08506","PR046",2025-07-06,1,"Officina Trieste"
"LOL08506","PR029",2025-07-23,1,"Officina Trieste"
"LOL08506","PR034",2025-06-29,1,"Officina Trieste"
"LOL08506","PR038",2025-06-26,1,"Officina Trieste"
"LOL08506","PR025",2025-07-16,1,"Officina Trieste"
"LOL08506","PR033",2025-07-12,1,"Officina Trieste"
"LOL08506","PR050",2025-06-24,1,"Officina Trieste"
"LOL08506","PR037",2025-07-18,1,"Officina Trieste"
"LOL08506","PR041",2025-07-22,1,"Officina Trieste"
"LOL08506","PR023",2025-07-08,1,"Officina Trieste"
"LOL08506","PR026",2025-07-06,1,"Officina Trieste"
"LOL08506","PR003",2025-07-09,1,"Officina Trieste"
"LOL08506","PR008",2025-07-22,1,"Officina Trieste"
"LOL08506","PR032",2025-07-08,1,"Officina Trieste"
"LOL08506","PR044",2025-07-10,1,"Officina Trieste"
"LOL08506","PR015",2025-07-22,1,"Officina Trieste"
"LOL08506","PR035",2025-07-04,1,"Officina Trieste"
"LOL08506","PR024",2025-06-24,1,"Officina Trieste"
"LOL08506","PR010",2025-07-02,1,"Officina Trieste"
"LOL08506","PR030",2025-07-09,1,"Officina Trieste"
"LOL08506","PR017",2025-07-10,1,"Officina Trieste"
"LOL08506","PR006",2025-06-24,1,"Officina Trieste"
"LOL08506","PR002",2025-06-24,1,"Officina Trieste"
"LOL08506","PR018",2025-07-20,1,"Officina Trieste"
"LOL08506","PR042",2025-06-27,1,"Officina Trieste"
"LOL08506","PR027",2025-07-23,1,"Officina Trieste"
"LOL08506","PR020",2025-07-06,1,"Officina Trieste"
"LOL08506","PR045",2025-06-24,1,"Officina Trieste"
"LOL08506","PR007",2025-07-10,1,"Officina Trieste"
"LOL08506","PR049",2025-07-16,1,"Officina Trieste"
"LOL08506","PR043",2025-07-23,1,"Officina Trieste"
"LOL08506","PR016",2025-07-03,1,"Officina Trieste"
"LOL08506","PR013",2025-07-22,1,"Officina Trieste"
"LOL08506","PR019",2025-07-10,1,"Officina Trieste"
"LOL08506","PR036",2025-07-23,1,"Officina Trieste"
"LOL08506","PR048",2025-07-22,1,"Officina Trieste"
"LOL08506","PR031",2025-07-08,1,"Officina Trieste"
"LOL08506","PR021",2025-06-26,1,"Officina Trieste"
"LOL08506","PR047",2025-07-21,1,"Officina Trieste"
"LOL08506","PR012",2025-07-05,1,"Officina Trieste"
"LOL08506","PR011",2025-07-16,2,"Officina Udine"
"LOL08506","PR027",2025-07-01,2,"Officina Udine"
"LOL08506","PR039",2025-07-17,2,"Officina Udine"
"LOL08506","PR049",2025-07-15,2,"Officina Udine"
"LOL08506","PR001",2025-07-01,2,"Officina Udine"
"LOL08506","PR048",2025-07-05,2,"Officina Udine"
"LOL08506","PR010",2025-06-26,2,"Officina Udine"
"LOL08506","PR035",2025-07-11,2,"Officina Udine"
"LOL08506","PR019",2025-07-06,2,"Officina Udine"
"LOL08506","PR021",2025-06-28,2,"Officina Udine"
"LOL08506","PR005",2025-07-10,2,"Officina Udine"
"LOL08506","PR020",2025-07-03,2,"Officina Udine"
"LOL08506","PR028",2025-07-07,2,"Officina Udine"
"LOL08506","PR044",2025-07-11,2,"Officina Udine"
"LOL08506","PR015",2025-07-14,2,"Officina Udine"
"LOL08506","PR009",2025-07-14,2,"Officina Udine"
"LOL08506","PR037",2025-07-13,2,"Officina Udine"
"LOL08506","PR026",2025-06-25,2,"Officina Udine"
"LOL08506","PR029",2025-07-23,2,"Officina Udine"
"LOL08506","PR004",2025-06-25,2,"Officina Udine"
"LOL08506","PR023",2025-07-02,2,"Officina Udine"
"LOL08506","PR008",2025-06-27,2,"Officina Udine"
"LOL08506","PR038",2025-07-20,2,"Officina Udine"
"LOL08506","PR032",2025-07-12,2,"Officina Udine"
"LOL08506","PR007",2025-07-16,2,"Officina Udine"
"LOL08506","PR017",2025-07-11,2,"Officina Udine"
"LOL08506","PR043",2025-07-02,2,"Officina Udine"
"LOL08506","PR047",2025-07-12,2,"Officina Udine"
"LOL08506","PR024",2025-07-07,2,"Officina Udine"
"LOL08506","PR041",2025-07-07,2,"Officina Udine"
"LOL08506","PR003",2025-07-14,2,"Officina Udine"
"LOL08506","PR025",2025-06-25,2,"Officina Udine"
"LOL08506","PR030",2025-07-11,2,"Officina Udine"
"LOL08506","PR012",2025-07-09,2,"Officina Udine"
"LOL08506","PR045",2025-07-11,2,"Officina Udine"
"LOL08506","PR034",2025-07-05,2,"Officina Udine"
"LOL08506","PR046",2025-07-07,2,"Officina Udine"
"LOL08506","PR002",2025-07-04,2,"Officina Udine"
"LOL08506","PR040",2025-07-03,2,"Officina Udine"
"LOL08506","PR036",2025-06-28,2,"Officina Udine"
"LOL08506","PR022",2025-06-27,2,"Officina Udine"
"LOL08506","PR006",2025-06-25,2,"Officina Udine"
"LOL08506","PR042",2025-07-21,2,"Officina Udine"
"LOL08506","PR013",2025-06-29,2,"Officina Udine"
"LOL08506","PR033",2025-07-03,2,"Officina Udine"
"MBL28395","PR029",2025-07-05,3,"Officina Pordenone"
"WHG88959","PR018",2025-06-27,3,"Officina Pordenone"
"NLF68273","PR034",2025-07-09,3,"Officina Pordenone"
"PHU69089","PR016",2025-07-11,3,"Officina Pordenone"
"NHC07536","PR011",2025-07-13,3,"Officina Pordenone"
"TRA80271","PR036",2025-07-21,3,"Officina Pordenone"
"UJM40751","PR024",2025-06-26,3,"Officina Pordenone"
"PVV57745","PR044",2025-06-28,3,"Officina Pordenone"
"NLF68273","PR039",2025-07-14,3,"Officina Pordenone"
"PHU69089","PR007",2025-07-03,3,"Officina Pordenone"
"PHU69089","PR020",2025-07-15,3,"Officina Pordenone"
"YTJ31944","PR023",2025-07-02,3,"Officina Pordenone"
"DHG13941","PR025",2025-06-30,3,"Officina Pordenone"
"GFW83783","PR045",2025-07-04,3,"Officina Pordenone"
"NHC07536","PR021",2025-06-29,3,"Officina Pordenone"
"DHG13941","PR026",2025-06-29,3,"Officina Pordenone"
"DRI31886","PR014",2025-07-05,3,"Officina Pordenone"
"QTA02490","PR028",2025-06-30,3,"Officina Pordenone"
"NHC07536","PR040",2025-06-30,3,"Officina Pordenone"
"MWX89608","PR006",2025-07-21,3,"Officina Pordenone"
"UEI50455","PR005",2025-07-19,3,"Officina Pordenone"
"WHG88959","PR019",2025-06-26,3,"Officina Pordenone"
"MWX89608","PR017",2025-07-22,3,"Officina Pordenone"
"WHG88959","PR041",2025-07-03,3,"Officina Pordenone"
"QAQ76397","PR049",2025-07-06,3,"Officina Pordenone"
