"nome_officina","numero_intervento","codice_pezzo"
"OfficinaUdine","UD01","PR001"
"OfficinaTrieste","TR01","PR002"
"OfficinaUdine","UD03","PR005"
"OfficinaUdine","UD02","PR002"
"OfficinaTrieste","TR02","PR005"
"OfficinaTrieste","TR03","PR001"
"Officina Buttrio","BTL3071","PR005"
"Officina Udine","TWN0527","PR021"
"Officina Sacile","DBF7756","PR040"
"Officina Sacile","NHY7796","PR028"
"Officina Codroipo","LCW7486","PR019"
"Officina Monfalcone","RUV0017","PR023"
"Officina Palmanova","OWY6126","PR031"
"Officina San Vito al Tagliamento","TQY9653","PR018"
"Officina Gorizia","NXJ9712","PR041"
"Officina Aquileia","VBC2461","PR010"
"Officina Trieste","WOA1134","PR047"
"Officina Tolmezzo","HXG0380","PR034"
"Officina San Vito al Tagliamento","DBO7591","PR023"
"Officina Tavagnacco","ZKX4387","PR036"
"Officina Sacile","OFG9049","PR022"
"Officina Udine","PLP2675","PR033"
"Officina Sacile","ZKV4401","PR007"
"Officina Tolmezzo","FMZ7702","PR007"
"Officina Sacile","MCW1473","PR009"
"Officina Gemona","TIQ6494","PR050"
"Officina Cividale del Friuli","KML9390","PR012"
"Officina San Giorgio di Nogaro","BXA6714","PR025"
"Officina Tolmezzo","JZV6909","PR008"
"Officina Cividale del Friuli","WEX0512","PR006"
"Officina Palmanova","NTI9525","PR016"
"Officina Palmanova","ZZY4739","PR045"
"Officina Buttrio","PBY8151","PR018"
"Officina Fagagna","PZQ7782","PR009"
"Officina Spilimbergo","FRP2366","PR038"
"Officina Monfalcone","JXC6776","PR028"
"Officina San Giorgio di Nogaro","SWW1295","PR026"
"Officina Udine","XKY6963","PR036"
"Officina Gemona","OIV3873","PR038"
"Officina Sacile","NXN5216","PR007"
"Officina Monfalcone","IUW0115","PR028"
"Officina San Vito al Tagliamento","YFJ9203","PR017"
"Officina Tavagnacco","SPL9536","PR017"
"Officina Cervignano del Friuli","PKU6333","PR019"
"Officina Udine","QFT0212","PR043"
"Officina San Vito al Tagliamento","UPD5815","PR015"
"Officina Codroipo","VKJ9523","PR049"
"Officina Cividale del Friuli","HEZ5889","PR048"
"Officina Gorizia","KEL9197","PR033"
"Officina Udine","RDQ7931","PR015"
"Officina Azzano Decimo","KQH3133","PR004"
"Officina Fagagna","AFS7391","PR013"
"Officina Buttrio","YSP9530","PR018"
"Officina Codroipo","BIU4863","PR036"
"Officina Buttrio","DJI0368","PR040"
"Officina Palmanova","DZP5843","PR012"
"Officina Spilimbergo","GRI2278","PR022"
"Officina Tarvisio","XEL6039","PR009"
"Officina Aquileia","WIP2420","PR005"
"Officina Pasian di Prato","OAF8876","PR014"
"Officina Udine","OFP9635","PR008"
"Officina Tavagnacco","BMW5816","PR009"
"Officina San Giorgio di Nogaro","RJD1511","PR043"
"Officina Lignano Sabbiadoro","SEC5078","PR024"
"Officina Tarvisio","BZN5850","PR002"
"Officina Lignano Sabbiadoro","SHU1404","PR013"
"Officina Pordenone","FWU8903","PR019"
"Officina Azzano Decimo","NSV7032","PR023"
"Officina Adegliaco","LOS1327","PR012"
"Officina San Vito al Tagliamento","HEY5968","PR005"
"Officina Sacile","RDC2584","PR050"
"Officina Pasian di Prato","WAV7088","PR034"
"Officina Maniago","OPO3020","PR020"
"Officina Tavagnacco","IGX7878","PR016"
"Officina Codroipo","HQE7584","PR011"
"Officina Sacile","BFL6754","PR048"
"Officina Aquileia","AMH8756","PR004"
"Officina Lignano Sabbiadoro","IIC2630","PR036"
"Officina San Giorgio di Nogaro","XIU2898","PR006"
"Officina Fagagna","ETC8303","PR039"
"Officina San Daniele del Friuli","OAM8660","PR032"
"Officina Pasian di Prato","KGD3534","PR025"
"Officina Spilimbergo","RWX4914","PR023"
"Officina Gemona","EXB2403","PR001"
"Officina Udine","BHK1300","PR012"
"Officina Sacile","IIC7270","PR026"
"Officina Cervignano del Friuli","DKE6586","PR021"
"Officina Udine","QYB6081","PR017"
"Officina Fagagna","XNM7948","PR016"
"Officina Fagagna","ZTF8480","PR028"
"Officina Gemona","DYN8683","PR025"
"Officina Cividale del Friuli","OFV6750","PR045"
"Officina Udine","ILM7447","PR041"
"Officina Tricesimo","BEQ0460","PR032"
"Officina Cervignano del Friuli","VAK4626","PR047"
"Officina Cividale del Friuli","EAR7010","PR020"
"Officina Fagagna","UHU4610","PR046"
"Officina Trieste","OIS9718","PR015"
"Officina Buttrio","JPB4596","PR008"
"Officina Palmanova","DQH6638","PR001"
"Officina San Giorgio di Nogaro","PQK9990","PR048"
"Officina San Daniele del Friuli","UWB4111","PR038"
"Officina Codroipo","JHL2739","PR022"
"Officina San Giorgio di Nogaro","OYT9389","PR020"
"Officina San Giorgio di Nogaro","MPG9404","PR049"
"Officina Codroipo","DCK8112","PR002"
"Officina Monfalcone","THZ8540","PR038"
"Officina Tricesimo","BCJ9747","PR014"
"Officina Tolmezzo","ZEI7027","PR021"
"Officina Pordenone","NYK4449","PR004"
"Officina Lignano Sabbiadoro","VMN8553","PR016"
"Officina Latisana","HPN6242","PR046"
"Officina Pordenone","DBQ6731","PR050"
"Officina Pasian di Prato","NLR8417","PR028"
"Officina Latisana","AOR7161","PR034"
"Officina Pasian di Prato","GDG1124","PR024"
"Officina Palmanova","FBI3735","PR048"
"Officina Cervignano del Friuli","ZDT7190","PR032"
"Officina San Vito al Tagliamento","KIV9802","PR022"
"Officina Cividale del Friuli","DFI8266","PR009"
"Officina Buttrio","MBG0479","PR006"
"Officina Tavagnacco","GTJ0483","PR019"
"Officina Udine","UQV3152","PR047"
"Officina Latisana","JLP3638","PR021"
"Officina Tarvisio","MBL2018","PR041"
"Officina San Giorgio di Nogaro","OGH4655","PR007"
"Officina Aquileia","LIF7931","PR023"
"Officina Lignano Sabbiadoro","TMG1065","PR049"
"Officina Pasian di Prato","HYH4116","PR043"
"Officina Cividale del Friuli","KBF4528","PR009"
"Officina Fagagna","URL2113","PR003"
"Officina Cervignano del Friuli","QDT7487","PR027"
"Officina Palmanova","NKF5717","PR026"
"Officina Gemona","QXR5026","PR042"
"Officina Gemona","UOE2487","PR041"
"Officina Fagagna","DQE8923","PR008"
"Officina Udine","FXJ2833","PR044"
"Officina Codroipo","AWY5540","PR025"
"Officina San Vito al Tagliamento","FVC8640","PR018"
"Officina Tarvisio","BDD8933","PR016"
"Officina Cervignano del Friuli","XOG4429","PR030"
"Officina Latisana","RRP5600","PR010"
"Officina Codroipo","DYJ7866","PR001"
"Officina San Vito al Tagliamento","GLY0018","PR013"
"Officina Buttrio","MGZ1090","PR032"
"Officina Latisana","VGJ4628","PR006"
"Officina Latisana","CQG3760","PR006"
"Officina Buttrio","TII5714","PR033"
"Officina Maniago","VPB4018","PR029"
"Officina Sacile","GRS3316","PR040"
"Officina Sacile","TVC5180","PR049"
"Officina Palmanova","ILU1691","PR013"
"Officina Tricesimo","BWV4202","PR011"
"Officina Aquileia","WMS9764","PR038"
"Officina Lignano Sabbiadoro","NWA3153","PR032"
"Officina Cervignano del Friuli","JRA4760","PR036"
"Officina Maniago","EDM1779","PR017"
"Officina Gorizia","XSN7408","PR045"
"Officina Adegliaco","OVO3388","PR041"
"Officina Tavagnacco","GQV4541","PR019"
"Officina San Vito al Tagliamento","BBJ6535","PR039"
"Officina Latisana","GEB1426","PR027"
"Officina Palmanova","MYP7506","PR041"
"Officina Adegliaco","IHL1437","PR019"
"Officina Azzano Decimo","XUW7532","PR015"
"Officina Monfalcone","YRW3984","PR024"
"Officina Azzano Decimo","QGI8970","PR050"
"Officina Udine","OMG1871","PR010"
"Officina San Vito al Tagliamento","KQE2705","PR001"
"Officina Tavagnacco","FPB3964","PR020"
"Officina Tolmezzo","WWI8103","PR010"
"Officina Tavagnacco","TSX8210","PR017"
"Officina Udine","IXP3951","PR024"
"Officina Pordenone","RLY7974","PR047"
"Officina Tolmezzo","IJR1413","PR041"
"Officina Gorizia","FAK8320","PR031"
"Officina Gemona","BAO7339","PR023"
"Officina Gemona","GFJ5340","PR024"
"Officina San Daniele del Friuli","ZUK0216","PR009"
"Officina Cividale del Friuli","XRN4060","PR036"
"Officina Tarvisio","JED8224","PR025"
"Officina Palmanova","LOL3153","PR047"
"Officina Monfalcone","VWI7502","PR050"
"Officina Pordenone","BFQ3400","PR040"
"Officina Adegliaco","YRG7580","PR009"
"Officina Sacile","YXG1501","PR050"
"Officina Lignano Sabbiadoro","WSM8010","PR030"
"Officina Palmanova","HIZ3956","PR045"
"Officina San Vito al Tagliamento","APT0411","PR042"
"Officina San Vito al Tagliamento","IRJ2032","PR019"
"Officina San Vito al Tagliamento","PVG9005","PR027"
"Officina Gorizia","JOZ9605","PR028"
"Officina Tavagnacco","JXY1382","PR037"
"Officina Tavagnacco","LGR0539","PR028"
"Officina Latisana","YIJ2201","PR021"
"Officina Buttrio","XBI6434","PR040"
"Officina Pasian di Prato","CWO7963","PR007"
"Officina Aquileia","FWO5662","PR013"
"Officina Gemona","KOO3025","PR027"
"Officina Tavagnacco","CAW9886","PR003"
"Officina San Giorgio di Nogaro","KEF0512","PR031"
"Officina Palmanova","AEY9844","PR004"
"Officina Trieste","YYQ6807","PR045"
"Officina Gorizia","ADO9410","PR013"
"Officina Spilimbergo","LBV8911","PR020"
"Officina Tolmezzo","YZP5140","PR016"
"Officina Trieste","HLR2121","PR015"
"Officina San Vito al Tagliamento","BEO1256","PR017"
"Officina Codroipo","WNQ6181","PR004"
"Officina Buttrio","JRM0623","PR025"
"Officina Pordenone","EJZ1959","PR006"
"Officina Sacile","UZT7245","PR041"
"Officina Palmanova","CCM6915","PR035"
"Officina San Giorgio di Nogaro","VQO6525","PR027"
"Officina Pasian di Prato","EAS4384","PR025"
"Officina Adegliaco","QYI4256","PR027"
"Officina Aquileia","NZD7381","PR018"
"Officina Adegliaco","UCK7851","PR039"
"Officina Trieste","QNO8205","PR046"
"Officina Latisana","XKO5959","PR009"
"Officina Maniago","CHD1425","PR029"
"Officina Cervignano del Friuli","MVV6241","PR021"
"Officina Cervignano del Friuli","WKQ4189","PR022"
"Officina Pordenone","YTI7433","PR040"
"Officina Tolmezzo","ZLC3342","PR010"
"Officina Sacile","GKQ6404","PR021"
"Officina Fagagna","OFV4089","PR032"
"Officina Azzano Decimo","ZZK6642","PR028"
"Officina Gorizia","IOC1595","PR004"
"Officina Lignano Sabbiadoro","SSE3532","PR047"
"Officina Tarvisio","XJD3788","PR007"
"Officina Tarvisio","HNS4706","PR042"
"Officina Tricesimo","DBC6773","PR021"
"Officina Tolmezzo","NMT7499","PR036"
"Officina Aquileia","TUS4061","PR019"
"Officina San Daniele del Friuli","BQJ4397","PR028"
"Officina Fagagna","AQP9599","PR032"
"Officina Fagagna","GEP0514","PR011"
"Officina Aquileia","EQF4269","PR022"
"Officina San Daniele del Friuli","BJU4236","PR010"
"Officina Tolmezzo","KBZ6840","PR030"
"Officina San Vito al Tagliamento","SBW3126","PR019"
"Officina Fagagna","JQM3225","PR001"
"Officina Pordenone","CFP4919","PR041"
"Officina Trieste","DWC7422","PR009"
"Officina Tavagnacco","ZMV4669","PR011"
"Officina Adegliaco","FUJ1810","PR012"
"Officina Trieste","JAA5151","PR007"
